Date,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
9/15/1958,"Triel, France",Military - U.S. Air Force,,N/A,Lockheed C-130A Hercules,56-0526,3134,15,15,0
9/29/1958,Over the Mediterranean Sea,Middle East Airlines,,Beirut - Rome,Avro 685 York I,OD-ADB,1307,5,5,0
10/9/1958,"Payette, Idaho",Military - U.S. Air Force,,N/A,Fairchild C-123 Provider,55-4521A,N/A,19,19,0
10/14/1958,"Mt. Alto del Cedro, Venezuela",Linea Aeropostal Venezolana,,N/A,Lockheed 1049E Super Constellation,YV-C-ANC,4575,23,23,0
10/15/1958,"Villa Montes, Bolivia",TAM (Bolivia),,Fortin Campero - Tarija,Douglas C-47A,TAM-03,13839,20,20,0
10/17/1958,"Near Kanash, Russia",Aeroflot,,Peking - Moscow,Tupolev TU-104A,CCCP-42362,N/A,80,80,0
10/18/1958,"Placentia Bay, Canada",Military - U.S. Navy,,"Patuxent River, NAS - Argentia,NAS",Lockheed WV-2 Super Constellation,Bu141294,N/A,29,11,0
10/22/1958,"Anzio, Italy",British European Airways,142,London - Napoli,Vickers Viscount 701C,G-ANHC,63,31,31,0
11/1/1958,"Nipe Bay, Cuba",Cubana de Aviacion,495,Miami - Varadero,Vickers Viscount 755D,CU-T603,91,20,17,0
11/3/1958,"Near Roccatamburo di Poggiodomo, Italy",Yemen Airlines,,Rome - Belgrade,Douglas C-47-DL,YE-AAB,4345,8,8,0
11/8/1958,"La Paz, Bolivia",TAM (Bolivia),,San Borja - La Paz,Douglas DC-3,TAM-05,N/A,3,3,0
11/9/1958,North AtlantiOcean,ARTOP Aerotopografica LDA,,Cabo Ruivo - Funchal,Martin Mariner,CS-THB,59144,36,36,0
11/16/1958,"Fort Collins, Colorado",Capitol Airways,,N/A,Curtiss C-46F,N1301N,22480,2,2,0
12/4/1958,"Guadarrama Mountains, Spain",Aviaco,,Vigo - Madrid,SNCASE Languedoc,EC-ANR,28,21,21,0
12/24/1958,"Winkton, England",BOAC,,Test,Bristol 175 Britannia 312,,N/A,12,9,0
12/26/1958,"Salisbury, Zimbabwe",Union Aeromaritime de Transport,736,Johannesberg - Salisbury - Brazzaville - Nice - Paris,Douglas DC-6B,F-BGTZ,43827/337,70,3,0
12/30/1958,"Rio de Janeiro, Brazil",VASP,,Rio de Janeiro - Sao Paulo,Saab Scandia,PP-SQE,103,37,21,0
1/13/1962,"Near Tippi, Ethiopia",Ethiopian Airlines,,Tippi - Jimma,Douglas DC-3,ET-T-1,10053,18,5,1
1/6/1959,"Mt. Pena Blanca, Guatemala",Sahsa Airlines,,Copan - Nuovo Octopeque,Douglas DC-3,XH-SAA,19667,5,5,0
1/8/1959,"Mt. Holston, Tennessee",Southeast Airlines,308,Nashville - Knoxville - Tri-City Aport,Douglas DC-3,N18941,2007,10,10,0
1/11/1959,"Rio de Janeiro, Brazil",Lufthansa,,Hamburg - Rio de Janeiro,Lockheed 1049G Super Constellation,D-ALAK,4602,39,36,0
1/14/1959,"Panther Peak, California",California Air Freight,,"Burbank, CA - Seattle, WA",Curtiss C-46F,N1240N,22404,2,2,0
1/16/1959,"Off Mar del Plata, Argentina",Austral Lineas Aeras (Argentina),,Buenos Aires - Mar del Plata,Curtiss C-46A-50-CU,LV-GED,30514,52,51,0
1/21/1959,"Near Merida, Venezuela",Linea Expresa Bolivar,,Merida - Lagunillas,Curtiss C-46D-15-CU,YV-C-LBI,33411,4,4,0
1/22/1959,"Dabouk, Jordan",Air Jordan,601,Jerusalem - Dobouk,Convair CV-240-2,JY-ACB,55,15,10,0
1/27/1959,"Brindisi, Italy",Air Charter,,N/A,Avro 688,G-AGRG,1255,6,2,0
2/1/1959,"Kerrville, Texas",General Airways,,"Pueblo, CO - San Antoonio, TX",Douglas DC-3,N17314,1924,28,3,0
2/3/1959,"Mason City, Iowa",Dwyer Flying Service - Private Charter,-,Mason City - Fargo,Beechcraft Bonanza 35,N3794N,D- 1019,4,4,0
2/3/1959,"La Guardia Airport, New York, NY",American Airlines,320,Chicago - New York City,Lockheed  188A Electra,N6101A,1015,73,65,0
2/17/1959,"Gatwick, Surrey, England",Turkish Airlines (THY),,Ankara - Istanbul -  London,Vickers Viscount 794D,TC-SEV,429,24,14,0
2/18/1959,"Belen, Chile",Southern Cross Airways,,"Arica, Colombia - Puerto Suarez, Bolilvia",Curtiss C-46A,N68823,26818,5,5,0
11/21/1959,"Beirut, Lebanon",Ariana Afghan Airlines,202,Beirut - Tehran,Douglas DC-4,YA-BAG,18367,27,24,0
3/5/1959,"Managua, Nicaragua",TACA,,Las Mercedes - Tegucigalpa,Vickers Viscount 763,YS-09C,82,19,15,0
3/12/1959,"Tobu, India",Indian Airlines,,N/A,Douglas C-47A,VT-CYH,12493,7,5,0
3/13/1959,"Mahon, Spain",Aviaco,,Palma de Mallorca - Mahon,Bristol 170 Freighter 21E,EC-ADH,12776,18,1,0
3/29/1959,"Near Banga, Central African Republic",Union Aeromaritime de Transport,,N/A,Nord 2501 Noratlas,F-BGZB,2,9,9,0
3/29/1959,"Near Silchar, India",Indian Airlines,,Dum Dum - Agartala-Singerbhil - Kumbhirgram,Douglas DC-3,VT-CGI,20176,24,24,0
3/30/1959,"Alma, Georgia",Riddle Airlines,402,"Orlando, FL - Atlanta, GA",Curtiss C-46A,N7840B,30242,2,2,0
4/17/1959,"Puerto Kino, Mexico",Tigres Voladores,,Mexicale - Guaymas,Curtiss C-46F-1-CU,XA-MIS,22586,26,26,0
4/23/1959,"Van, Turkey",Air Charter,,"Ankara, Turkey - Bahrain",Avro 688 Super Trader,G-AGRH,1256,12,12,0
4/29/1959,"Valdemeca, Spain",Iberia Airlines,,Barcelona - Madrid,Douglas DC-3,EC-ABC,19334,28,28,0
5/2/1959,"Mallorca, Spain",Austria-Flugdienst,,Palma de Mallorca - Wien,Douglas DC-3,OE-FDA,12210,5,5,0
5/12/1959,"Charleston, West Virginia",Capital Airlines,983,Pittsburg - Charleston,Lockheed C-69 Constellation,N2735A,1978,44,2,0
5/12/1959,"Chase, Maryland",Capital Airlines,75,New York City - Atlanta,Vickers Viscount 745D,N7463,287,31,31,0
5/13/1959,"Near Toumavista, Peru",Transportes Aereos Peruanas,,Lima - Pucallpa,Curtiss C-46A,OB-WBP-507,26829,12,12,0
5/15/1959,"Off Mar del Plata, Aregntina",Aerolineas Argentinas,,Mar del Plata - Bahia Blanca,Douglas DC-3,LV-AFW,19790,10,10,0
5/21/1959,"Moro, Peru",Lineas Aéreas Interpolar,,Talara  - Arica,Curtiss C-46A-50-CU,CC-CIA-497,30482,8,8,0
6/1/1959,Nicaragua,Aerolineas Nacionales,,N/A,Curtiss C-46,TI-1020,N/A,60,60,0
6/23/1959,"Cerros Baco, Peru",AVIANCA,,Bogota - Lima,Douglas DC-4,HK-135,10418,14,14,0
6/26/1959,"Near Varese, Lombardia, 20 miles NW of Milan, Italy",Trans World Airlines,891,Milan - Paris,Lockheed 1649A Starliner,N7313C,1015,68,68,0
6/30/1959,"Ishikawa City, Ryukyu Island, Okinawa",Military - U.S. Air Force,,N/A,North American F-100D-25NA,55-3633A,N/A,1,0,17
8/3/1959,"Sagone, India",Kalinga Airlines,,Mohanbari - Along,Douglas DC-3,VT-DGP,9549,6,6,0
8/14/1959,"Karachi, Pakistan",Pakistan International Airlines,,N/A,Vickers 815 Viscount,AP-AJE,337,3,2,0
8/15/1959,"Calverton, New York",American Airlines,514,Training,Boeing 707-123,N7514A,17641/36,5,5,0
8/19/1959,"Near Barcelona, Spain",Transair,,Barcelona - London,Douglas DC-3,G-AMZD,16112/3286,32,32,0
8/27/1959,"Near Asuncion, Paraguay",Aerolineas Argentinas,,N/A,de Havilland DH-106 Comet 4,LV-AHP,6411,50,2,0
9/2/1959,"Abilene, Texas",Aaxico Airlines,,"Abilene, TX - Forth Worth, TX",Curtiss C-46A,N5140B,26809,2,2,0
9/8/1959,"Poza Rica, Mexico",Mexicana,,Mexico City - Merida,Douglas DC-3,,N/A,16,1,0
9/12/1959,"Near Tegucigalpa, Honduras",Pan American World Airways,,San Salvador - Miami,Douglas DC-4,N88900,10504,3,3,0
9/23/1959,"Sao Paulo, Brazil",VASP,,Sao Paulo - Rio de Janeiro,Saab Scandia 90A-1,PP-SQV,106,20,20,0
9/24/1959,"Bordeaux, France",T.A. Intercontinentaux (France),,Bordeaux - Bamako,Douglas DC-7C,F-BIAP,45366/892,65,53,0
9/24/1959,"Great Sitkin Island, Alaska",Reeve Aleutian Airlines,3,Shemya - Cold Bay - Adak - Anchorage,Douglas C-54B,N63396,10486,16,16,0
9/29/1959,"Buffalo, Texas",Braniff Airlines,542,Houston - Dallas,Lockheed 188A Electra,N9705C,1090,34,34,0
10/26/1959,"Santa Maria, California",PacifiAir Lines,308,Los Angeles - Oxnard - Santa Maria - Paso Robles,Douglas C-47A-DL,N67589,19656,19,1,1
10/29/1959,"Athens, Greece",OlympiAirways,214,Athens - Thessaloniki,Douglas DC-3,SX-BAD,9491,18,18,0
10/30/1959,"Waynesborough, Virginia",Piedmont Airlines,349,"Washington DC - Charlottsville, VA",Douglas DC-3,N55V,20447,27,26,0
11/4/1959,"St. Cleophas, Quebec, Canada",Wheeler Airlines,1658,Montreal - Hall Lake,Douglas C-54A,CF-ILI,10360,5,5,0
11/16/1959,Gulf of Mexico,National Airlines,967,Tampa - New Orleans,Douglas DC-7B,N4891C,45355,42,42,0
11/16/1959,"Lvov, Ukraine, USSR",Aeroflot,,N/A,Antonov AN-10,CCCP-11167,9401402,40,40,0
11/24/1959,"Chicago, Illinois",Trans World Airlines,595,Chicago - Los Angeles,Lockheed L-1049H Super Constellation,N102R,4824,3,3,8
12/1/1959,"Willamsport, Pennsylvania",Allegheny Airlines,371,Harrisburg - Willamsport,Martin 202,N174A,9159,26,25,0
12/8/1959,"Off Cartagena, Colombia",Sociedad Aeronautica Medellin,,San Andres Island - Cartagena,Curtiss C-46A,HK-515,26941,45,45,0
12/13/1959,"Near Tashkent, Uzbekistan, USSR",Aeroflot,,Kabul - Tashkent,Ilyushin IL-18,,N/A,29,29,0
12/17/1959,"Ketchikan, Alaska",California Aircraft,,Juneau - Annette Island,Consolidated PBY-5A Catalina,N64T,N/A,3,3,0
12/21/1959,"Rome, Italy",Alitalia,,Training,Vickers 785D Viscount,I-LIZT,378,2,2,0
12/22/1959,"Rid de Janeiro, Brazil",VASP,,Rio de Janeiro - Sao Paulo,Vickers Viscount 827 / Fokker AT-6,PP-SRG,401,33,33,10
12/24/1959,"Palembang, Indonesia",Garuda Indonesia Airlines,330,N/A,Douglas C-47A,PK-GDV,13535,2,1,0
12/31/1959,"Near San Jose de Chiquitos, Bolivia",Lloyd Aereo Boliviano,,N/A,Douglas DC-3,CP-584,19226,11,11,0
1/3/1960,"Taksing, India",Indian Airlines,,N/A,Douglas C-47A,VT-CGG,12821,9,9,0
1/6/1960,"Wilmington/Bolivia, North Carolina",National Airlines,2511,New York - Miami,Douglas DC-6B,N8225H,43742/300,34,34,0
1/10/1960,Gulf of Sirte,Military - U.S. Army,,Misurata - Benghazi,de Havilland Canada U-1A Otter,55-2974,47,10,10,0
1/18/1960,"Charles City, Virginia",Capital Airlines,20,Washington D.C. - Norfolk,Vickers Viscount 745D,N7462,217,50,50,0
1/19/1960,"Ankara, Turkey",Scandinavian Airlines (SAS),871,Istanbul - Ankara,Sud Aviation Caravelle 1,OY-KRB,014/14,42,42,0
5/11/1973,"Near Semipalatinsk, USSR",Aeroflot,,N/A,Ilyushin IL-18B,SSR-75687,189001202,61,61,0
1/21/1960,"Montego Bay, Jamacia",AVIANCA,671,Miami - Montigo Bay,Lockheed 1049E Super Constellation,HK-177,4556,46,37,0
1/26/1960,"Off Bathurst Island, Australia",Transportes Aéreos de Timor,,Darwin - Baucau,de Havilland DH-114 Heron 2D,CR-TAI,14132,9,9,0
2/5/1960,"Laguna de Huana-Costa , Boliva",Lloyd Aereo Boliviano,,Laguna de Huana-Costa - La Paz,Douglas DC-4,CP-609,10510,59,59,0
2/26/1960,"Rio de Janeiro, Brazil",REAL / Military - U.S. Navy,,Campos - Rio de Janeiro,Douglas DC-3 / USN R-6D-1,PP-AXD/131582,13326 / 43685-307,61,61,0
2/26/1960,"Shannon, Ireland",Alitalia,,Shannon - New York City,Douglas DC-7C,I-DUVO,45231/945,52,34,0
2/26/1960,"Lvov, Ukraine, USSR",Aeroflot,,N/A,Antonov AN-10,CCCP-11180,N/A,32,32,0
3/15/1960,"El Refugio, Colombia",Agencia Interamericana de Aviada,,Aracacuara - Villavicencio,Consolidated PBY-5A Catalina,HK-1001E,N/A,13,6,0
3/16/1960,"Near Tokyo, Japan",All Nippon Airways,,Tokyo - Nagoya,Douglas DC-3,JA-5018,6006,33,3,0
3/17/1960,"Near Cannelton, 10 mile SE of Tell City, Indiana",Northwest Orient Airlines,710,Chicago - Miami,Lockheed 188C Electra,N121US,1057,63,63,0
3/19/1960,"Cordoba, Colombia",SAMSA,901,San Andres - Medellin,Curtiss C-46,HK-516,2927/384,46,25,0
4/5/1960,"Siuna, Nicaragua",Lanica,,Siuna - Bonanza,Curtiss C-46A-40-CU,AN-AIN,26945,18,2,0
4/12/1960,"Pelotas, Brazil",Cruzeiro,,N/A,Douglas DC-3,PP-CDS,4823,22,10,0
4/14/1960,"Taipei ,Taiwan",Military - Royal Thai Air Force,,N/A,Douglas DC-4,,N/A,18,18,0
4/18/1960,"Stephenville, Newfoundland",Military - U.S. Air Force,,"Dover, Delaware - Mildenhall, England",Douglas C-124C Globemaster,52-1062,43971,9,9,0
4/19/1960,"Bogota, Colombia",Lloyd Aereo Colombiano,503,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51,37,0
4/20/1960,"Hickory, North Carolina",Piedmont Airlines / Private,,"Cincinnati, OH - Hickory, NC",Fairchild F-27 / Cessna 310,N2704R/N1807H,17,44,4,0
4/22/1960,"Bunia, Belgian Congo",Sobelair SA (Belgium),,Cairo - Bunia,Douglas C-54B,OO-SBL,3099,35,35,0
4/28/1960,"Near Calabozo, Venezuela",Linea Aeropostal Venezolana,,Maiquetia - Calabozo,Douglas DC-3,YV-C-AFE,15353/26798,13,13,0
5/15/1960,"Jebel Marra, Sudan",Balair,,Niamey - Khartoum,Douglas DC-4-1009,HB-ILA,43072,12,12,0
9/7/1960,"Near Salto, Uruguay",Aerolineas Argentinas,,Asuncion - Buenos Aires,Douglas DC-6,LV-ADS,43031/127,31,31,0
5/18/1960,"El Sosneado, Argentina",Transamerican Air Transport,,Buenos Aires - Santiago,Curtiss C-46,LV-GGJ,22554,10,10,0
5/23/1960,"Atlanta, Georgia",Delta Air Lines,,Training,Convair CV-880,N8804E,22-00-16,4,4,0
6/10/1960,"Off  Mackay, Qld. Australia",Trans Australia Airlines,,Rockhampton - MacKay,Fokker F-27 Friendship 100,VH-TFB,10112,29,29,0
6/14/1960,"Mt. Gilbert, Alaska",PacifiNorthern Airlines,201,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14,14,0
6/24/1960,"Rio de Janeiro, Brazil",REAL,,Belo Horizonte - Rio de Janeiro,Convair CV-340-62,PP-YRB,191,54,54,0
7/6/1960,"Off Barnegat City, New Jersey",Military - U.S. Navy,,N/A,Goodyear ZPG-3W (airship),144242,N/A,21,18,0
7/10/1960,Persian Gulf,Gulf Aviation (Kalinga Airways),,Doha - Sharjah,Douglas DC-3,VT-DGS,4273,16,16,0
7/11/1960,"Near Quito, Ecuador",Military - U.S. Air Force,,Bogota - Quito,Douglas C-47B-DK,45-1109A,34379,18,18,0
7/14/1960,"Off Manila, Philippines",Northwest Orient Airlines,11-Jan,Okinawa - Manila,Douglas DC-7C,N292,45462/925,58,1,0
7/15/1960,"Near Jima, Ethiopia",Ethiopian Airlines,372,Bulchi - Jimma,Douglas DC-3,ET-T-18,12926,11,1,0
7/19/1960,"Near Goma, Zaire",Military - Royal Belgian Air Force,,N/A,Fairchild C-119G,CP-36,N/A,41,37,0
7/27/1960,"Forest Park, Illinois",Chicago Helicopter Airways,698,N/A,Sikorsky S-58C helicopter,N879,58420,13,13,0
7/31/1960,"Near Rimini, Italy",Deutsche Flugdienst,,Frankfort - Rimini,Convair CV-240-4,D-BELU,78,34,1,0
8/1/1960,"Near Tipuani, Bolivia",TAM (Bolivia),,La Paz - Tipuani,Douglas C-47,TAM-09,9030,6,6,0
8/17/1960,"Kiev, Ukraine, USSR",Aeroflot,,Cairo - Moscow,Ilyushin IL-18,CCCP 75705,189001702,35,35,0
8/17/1960,"Near El Kelaa, Morocco",Military - French Naval Aviation,,N/A,Avro Lancaster 1,WU-26,N/A,20,20,0
8/24/1960,"Off Heraklion, Greece",Don Everall Aviation,,"Heraklion, Greece - Cairo, Egypt",Vickers 634 Viking 1B,G-AMNK,210,3,3,0
8/29/1960,"Off Dakar, Senegal",Air France,343,Paris - Dakar,Lockheed 1049G Super Constellation,F-BHBC,4622,63,63,0
9/19/1960,"Agana, Guam, Mariana Islands",World Airways,830/18,Guam - Wake Island,Douglas DC-6AB,N90779,44914/646,94,80,0
9/22/1960,"Off Naha, Okinawa",Military - U.S. Marine Corps,,"Atsugi, Japan - Subi Point, Philippines",Douglas R5D-3,56541,N/A,29,29,0
9/26/1960,"Moscow, Russia",Austrian Airlines,901,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37,31,0
9/28/1960,"Near Juchetipec, Mexico",Mexicana,,Tapachula - Mexico City,Douglas DC-3 (C-53-DO),XA-HUS,7388,18,8,0
9/29/1960,"Off Elba, Italy",United Arab Airlines,738,Geneva - Rome,Vickers Viscount 739B,SU-AKW,427,21,21,0
10/4/1960,"Boston, Massachusett",Eastern Air Lines,375,Boston - Philadelphia,Lockheed 188A Electra,N5533,1062,72,62,0
10/14/1960,"Elba, Italy",Itavia,,Rome - Genoa,de Havilland DH-114 Heron 2,I-AOMA,14090,11,11,0
10/15/1960,"Plain City, Utah",Capitol Airways,,"Rapid City, South Dakota - Ogden, UT",Curtiss C-46F,N1300N,22481,2,2,0
10/21/1960,"Ust-Orda, Russia",Aeroflot,,N/A,Tupolev Tu-104A,CCCP-42452,96601701,3,3,0
10/28/1960,"Near Missoula, Montana",Northwest Orient Airlines,104,Spokane - Missoula,Douglas C-54A-DC,N48762,10320,12,12,0
10/29/1960,"Toledo, Ohio",ArctiPacific,,"Toledo - Kansas City, MO",Curtiss C-46F-1-CU,N1244N,22458,48,22,0
11/5/1960,"Bhairawa, Nepal",Royal Nepal Airlines,,N/A,Douglas C-47A,9N-AAD,19792,4,4,0
11/7/1960,"Near Quito, Ecuador",AREA,,Guayaquil - Quito,Fairchild F-27A,HC-ADV,0001A,37,37,0
11/23/1960,"Manila, Philippines",Philippine Air Lines,26,Iloilo - Manila,Douglas DC-3,PI-C133,N/A,33,33,0
12/7/1960,"Cachimbo, Brazil",REAL,,Cuiaba - Manaus,Curtiss C-46A-60-CK,PP-AKF,295,15,15,0
12/11/1960,"San Andres de Giles, Argentina",Military - Argentine Air Force,,Buenos Aires - Lima,Avro 691 Lancastrian IV,T-102,N/A,31,31,0
4/3/1961,"Llico, Chile",LAN,210,Temuco - Santiago,Douglas DC-3,CC-CLD-P210,9716,24,24,0
5/10/1961,"Stah, Algeria",Air France,406,"Fort Lamy, Chad - Marseilles, France",Lockheed 1649A Starliner,F-BHBM,1027,78,78,0
5/24/1961,"Near Tacoma, Washington",Military - U.S. Air Force,,N/A,Douglas C-124A-DL,51-0174,43508,22,22,0
12/16/1960,"Staten Island / Brooklyn, New York",United Air Lines / Trans World Airlines,826/266,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,N8013U/N6907C,45290 /4021,128,128,6
12/17/1960,"Munich, West Germany",Military - U.S. Air Force,,"Munich - Northolt AB, England",Convair C-131D (CV-340-79),55-291,212,20,20,31
12/22/1960,"Cebu City, Philippines",Philippine Air Lines,S85,Cebu - Davao,Douglas DC-3,PI-C126,20593,37,28,0
1/2/1961,"Ruzyne, Czechoslovakia",Ceskoslovenske Aerolinie,,N/A,Avia 14,OK-MCZ,105807110,10,10,0
1/3/1961,"Koivulahti, Finland",Finnair,311,Kokkola - Vaasa,Douglas DC-3,OH-LCC,14066/25511,25,25,0
1/19/1961,"New York, New York (Idlewild)",Aeronaves de Mexico,401,New York - Mexico City,McDonnell Douglas DC-8-21,XA-XAX,45432/105,106,4,0
1/22/1961,Midway Island Naval Air Station,Military - U.S. Navy,,N/A,Lockheed WV-2 Super Constellation,BU143193,4467,22,6,3
1/24/1961,"Mt. Burangrang, Indonesia",Garuda Indonesia Airlines,424,Jakarta - Bandung,Douglas DC-3,PK-GDI,19672,21,21,0
1/26/1961,"Off Argentia, Azores",Military - U.S. Air Force,,"Azores - Argentia,Newfoundland",Douglas C-118A,51-17626,43670,23,23,0
1/28/1961,"Off Montauk Point, New York",American Airlines,,Training,Boeing 707-123,N7502A,17629/8,6,6,0
2/3/1961,"Off Surabaya, Indonesia",Garuda Indonesia Airlines,542,Surabaya - Balikpapan,Douglas DC-3,PK-GDY,13052,26,26,0
2/15/1961,"Near Brussels, Belgium",Sabena,548,New York City - Brussels,Boeing B-707-320,OO-SJB,17624/92,72,72,1
3/9/1961,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,,San Antonio-Maiquetia,Douglas DC-3,YV-C-AZQ,19986,12,12,0
3/25/1961,"Near Natal, Brazil",Military - Brazilian Air Force,,Rio de Janerio - Belem,Douglas C-47DL,C-47-2055,4473,28,23,0
3/28/1961,"Russelbach, East Germany",Ceskoslovenske Aerolinie,,Prague - Zurich,Ilyushin IL-18,OK-OAD,180002102,52,52,0
5/29/1961,Singapore,Military - Royal Air Force,,N/A,Handley Page Hastings C-2,WD497,N/A,13,13,0
5/30/1961,"Near Lisbon, Portugal",KLM Royal Dutch Airlines,897,"Rome  - Lisbon -  Madrid - Santa Maria, Azores -Caracas",McDonnell Douglas DC-8-53,PH-DCL,45615,61,61,0
6/12/1961,"Cairo, Egypt",KLM Royal Dutch Airlines,823,Rome - Cairo,Lockheed L-188C Electra,PH-LLM,2019,36,20,0
6/17/1961,"Near Kano, Nigeria",Continentale Deutsche Luftreederei,,Tripoli - Kano,Douglas C-54B-1-DC,D-ABEB,10530,7,1,0
6/30/1961,"Buenos Aires, Argentina",Transcontinental,,Salta - Cordoba - Buenos Aires,Curtiss C-46A,LV-FTO,193,35,24,0
7/10/1961,"Odessa, Ukraine, USSR",Aeroflot,,N/A,Tupolev TU-104B,CCCP-42447,N/A,85,1,0
7/11/1961,"Denver, Colorado",United Air Lines,859,Omaha - Denver,McDonnell Douglas DC-8-12,N8040U,45307,122,17,1
7/12/1961,"Casablanca, Morocco",Ceskoslovenske Aerolinie,,Zurich - Rabat,Ilyushin IL-18B,OK-PAF,181002904,72,72,0
7/19/1961,"Near Azul, Argentina",Aerolineas Argentinas,,Buenos Aires - Comodoro,Douglas DC-6,LV-ADW,43136,67,67,0
7/21/1961,"Shemya, Alaska",Alaska Airlines,,Seattle - Shemya AFB,Douglas DC-6A,N6118C,45243/919,6,6,0
8/6/1961,"Budapest, Hungary",Malev Hungarian Airlines,,N/A,Douglas DC-3,HA-TSA,20492,27,27,3
8/9/1961,"Sola, Norway",Cunard Eagle Airways,,London - Sola,Vickers Viking 3B,G-AHPM,152,39,39,0
8/13/1961,"Near Pha Khao, Laos",Air America,,N/A,Curtiss C-46F,B-136,22465,6,6,0
8/29/1961,"Sondreströmfjord, Greenland",Eastern Provincial Airways,,N/A,de Havilland Canada DHC-3 Otter,CF-MEX,N/A,6,1,0
9/1/1961,"Near Hinsdale, Illinois",Trans World Airlines,529,Chicago - Las Vegas,Lockheed 049 Constellation,N86511,2035,78,78,0
9/5/1961,"Near Sendafar, Ethiopia",Ethiopian Airlines,,Addis Ababa - Asmara,Douglas DC-3,ET-T-16,13305,19,5,0
9/6/1961,"Cerro del Aernal, Costa Rica",Lineas Aéreas Costarricenses,,N/A,Douglas DC-3,TI-1006C,4960,2,2,0
12/29/1961,"Surabaya, Indonesia",Garuda Indonesia Airlines,,N/A,Douglas DC-3,PK-GDZ,12514,14,14,0
9/10/1961,"Shannon, Ireland",President Airlines,,Shannon - Gander,Douglas DC-6B,N90773,44058/365,83,83,0
9/12/1961,"Near Rabat, Morrocco",Air France,2005,Paris - Rabat,Sud-Aviation Caravelle III,F-BJTB,68,77,77,0
9/17/1961,"Ndola, Zambia",United Nations Organization,,Leopoldville - Ndola,Douglas DC-6B,SE-BDY,43559,16,16,0
9/17/1961,"Chicago, Illinois",Northwest Orient Airlines,706,Chicago - Tampa,Lockheed 188C  Electra,N137US,1142,37,37,0
9/23/1961,"Ankara, Turkey",Turkish Airlines (THY),,Adana - Ankara,Fokker F-27 Friendship 100,TC-TAY,10182,29,28,0
10/7/1961,"Mt. Canigou, France",Derby Aviation,,London - Perpignan,Douglas DC-3,G-AMSW,16171/32919,34,34,0
10/10/1961,"El Adem, Libya",Military - Royal Air Force,,N/A,Handley Page Hastings C-2,WD498,N/A,37,17,0
11/1/1961,"Les Prevosts, Guernsey",Bristol 170 Freighter 31M,,Cherboug - Les Prevosts,Silver City Airways,G-ANWL,13260,10,2,0
11/1/1961,"Near Recife, Brazil",Panair do Brasil,,Lisbon - Ilha do Sal - Recife,Douglas DC-7C,PP-PDO,44872,45,45,0
11/8/1961,"Near Richmond, Virginia",Imperial Airways,201/8,Baltimore - Columbia SC,Lockheed C-69 Constellation,N2737A,1976,79,77,0
11/11/1961,Off Puerto Rico,Air Haiti International,,"San Juan, PR - Managua",Lockheed L-749A Constellation,HH-ABA,2615,3,3,0
11/23/1961,"Campinas, Brazil",Aerolineas Argentinas,,Sao Paulo - Trinidad,de Havilland Comet 4,LV-AHR,6430,52,52,0
11/23/1961,Sao Tomé,Military - Força Aérea Portuguesa,,N/A,Douglas C-54 Skymaster,,N/A,35,21,0
11/30/1961,"Sydney, NSW, Australia",Ansett ANA,,Sydney - Canberra,Vickers Viscount 720,VH-TVC,46,15,15,0
12/4/1961,"Mainz, Germany",Lufthansa,,Training,Boeing 720-030B,D-ABOK,18058/202,3,3,0
12/12/1961,"Chievres, Belgium",Military - Belgian Air Force,,N/A,Fairchild C-119G / Fairchild C-119,CP-23 / CP-25,10951/ 11082,13,13,8
12/15/1961,"Managua, Nicaragua",Lanica,,N/A,Curtiss C-46,AN-AOE,N/A,2,2,0
12/21/1961,"Ankara, Turkey",British European Airways,,Ankara - Nicosia,de Havilland Comet 4B,G-ARJM,6456,34,27,0
12/24/1961,"Old Harbor, Kodiak Island, Alaska",Kodiak Airways,,Old Harbor - Kaguyak,Grumman G-21A Goose,N1503V,1020,5,1,0
1/22/1962,"Caranavi ,Bolivia",Corporacion Boliviano de Fomento,,N/A,Curtiss C-46D,CP-541,33579,6,6,0
1/27/1962,"Batataevka, USSR",Aeroflot,,N/A,Antonov AN-10A,CCCP-11148,N/A,13,13,0
2/4/1962,"Near Tino Maria, Peru",Faucett,,Huanuco - Pucallpa,Douglas DC-3,OB-PBH-530,7331,18,18,0
2/25/1962,"Portlamar, Margarita Island, Venezuela",Avensa,,Porlamar - Cumana,Fairchild F-27,YV-C-EVH,12,23,23,0
2/25/1962,"Municipio de Marulanda, Colombia",Avianca,,Manizales - Bogota,Douglas C-47A,HK-502,19653,2,2,0
3/1/1962,"Jamaica Bay, New York, New York",American Airlines,1,New York City - Los Angeles,Boeing B-707-123B,N7506A,17633/12,95,95,0
3/4/1962,"Douala, Cameroon",Caledonian Airways,153,Douala - Lisboa,Douglas DC-7C,G-ARUD,45160/754,111,111,0
3/6/1962,"Near Seymour, South Africa",South African Airways,512,Grahamtown - Queentown,Douglas DC-3,ZS-DJC,16189/32937,7,2,0
